Family Name,Filing Type,Patent Number,Trademark Number,Filing Date,Status,Jurisdiction,Attorney Firm,Estimated Value,Maintenance Due,Priority Level,Classification
Johnson Family Trust,Patent,US11234567B2,,2023-03-15,Active,United States,IP Partners LLP,250000,2027-03-15,High,Technology
Johnson Family Trust,Trademark,,TM87654321,2023-06-20,Active,United States,Brand Law Associates,85000,2033-06-20,Medium,Brand
Smith Holdings,Patent,US11987654B1,,2022-11-08,Pending,United States,Tech IP Group,420000,2026-11-08,High,Software
Smith Holdings,Copyright,,,2023-01-12,Active,United States,Creative Rights Law,12000,,Low,Creative
Chen Investment Group,Patent,US12345678A1,,2024-02-28,Expired,United States,Innovation Legal,180000,,Medium,Healthcare
Williams Family Office,Trademark,,TM12345678,2023-09-15,Active,United States,Trademark Solutions,95000,2033-09-15,Medium,Brand
Williams Family Office,Patent,US13579246B2,,2023-04-22,Active,United States,Patent Pros LLC,350000,2027-04-22,High,Technology
Brown Trust Estate,Copyright,,,2023-07-10,Active,United States,Creative IP Law,8500,,Low,Creative
Brown Trust Estate,Patent,US24681357A1,,2023-02-18,Pending,United States,Tech Innovation Group,290000,2027-02-18,High,Software
Davis Holdings,Trademark,,TM98765432,2022-12-05,Active,United States,Brand Protection Inc,120000,2032-12-05,Medium,Brand
Davis Holdings,Patent,US11111111B1,,2023-08-30,Active,United States,Innovation Partners,480000,2027-08-30,High,Technology
Miller Family Trust,Copyright,,,2023-05-14,Active,United States,Creative Rights LLC,15000,,Low,Creative
Miller Family Trust,Patent,US22222222A1,,2023-01-25,Pending,United States,Patent Strategy Group,375000,2027-01-25,High,Healthcare
Wilson Investment Corp,Trademark,,TM11111111,2023-10-12,Active,United States,Trademark Experts,110000,2033-10-12,Medium,Brand
Wilson Investment Corp,Patent,US33333333B2,,2023-03-08,Active,United States,IP Innovation LLC,425000,2027-03-08,High,Software
Anderson Holdings,Copyright,,,2023-06-28,Active,United States,Creative Protection Law,9800,,Low,Creative
Anderson Holdings,Patent,US44444444A1,,2023-04-15,Pending,United States,Technology Patents Inc,310000,2027-04-15,High,Technology
Taylor Family Office,Trademark,,TM22222222,2022-11-20,Active,United States,Brand Strategy Partners,98000,2032-11-20,Medium,Brand
Taylor Family Office,Patent,US55555555B1,,2023-07-03,Active,United States,Patent Excellence Group,395000,2027-07-03,High,Healthcare
Thompson Trust,Copyright,,,2023-09-05,Active,United States,Creative Innovation Law,11200,,Low,Creative