Campaign,AdGroup,MatchType,Keyword,Headline1,Headline2,Headline3,Description1,Description2,FinalURL,Path1,Path2,UTM_Source,UTM_Medium,UTM_Campaign,UTM_Content
"Home - Miami","Home Insurance Miami",Exact,"home insurance miami","Miami Home Insurance Check","Lower Risk Not Privacy","Coverage Analysis In Minutes","Upload declarations get banded insights in minutes. Your PII stays in your secure vault.","Private coverage check with Proof-of-Receipts. See your protection gaps without oversharing.","https://example.com/scan","scan","home","google","cpc","home_miami","miami_home_exact"
"Home - Miami","Home Insurance Miami",Phrase,"home insurance florida","Florida Home Coverage","Privacy-First Analysis","Scan Save Check Coverage","Analyze your home insurance privately. Get recommendations without sharing personal information.","Banded coverage insights that protect your privacy while improving your protection.","https://example.com/scan","scan","home","google","cpc","home_miami","florida_home_phrase"
"Home - Miami","Flood Insurance Miami",Exact,"flood insurance miami","Miami Flood Coverage Check","Know Your Flood Risk","Private Analysis Minutes","Check flood coverage without sharing PII. Upload documents to secure vault get insights.","Hurricane season preparation starts with understanding your flood protection gaps.","https://example.com/scan","scan","flood","google","cpc","home_miami","miami_flood_exact"
"Auto - Miami","Auto Insurance Miami",Exact,"auto insurance miami","Miami Auto Insurance","Privacy Protected Analysis","Lower Risk Not Privacy","Check auto coverage in minutes. Your personal information stays in your secure vault.","Banded insights show coverage gaps and savings opportunities without oversharing data.","https://example.com/scan","scan","auto","google","cpc","auto_miami","miami_auto_exact"
"Auto - Miami","Auto Insurance Miami",Phrase,"car insurance florida","Florida Auto Coverage","Smart Coverage Check","Scan Save Auto Insurance","Analyze car insurance privately. Professional insights without traditional sales pressure.","Compare coverage options with privacy-preserving analysis and Proof-of-Receipts.","https://example.com/scan","scan","auto","google","cpc","auto_miami","florida_auto_phrase"
"Auto - Miami","Auto Quotes Miami",Exact,"auto insurance quotes miami","Miami Auto Quotes Fast","No PII Required","Coverage Check Minutes","Get auto insights without sharing personal information. Private analysis professional results.","Quick coverage check with banded recommendations. Your data your vault your control.","https://example.com/scan","scan","quotes","google","cpc","auto_miami","miami_quotes_exact"
"Umbrella - Florida","Umbrella Insurance",Exact,"umbrella insurance florida","Florida Umbrella Coverage","Privacy First Analysis","Liability Protection Check","Check umbrella coverage gaps privately. Professional analysis without sharing personal data.","Understand liability protection with banded insights and explainable recommendations.","https://example.com/scan","scan","umbrella","google","cpc","umbrella_florida","florida_umbrella_exact"
"Umbrella - Florida","High Net Worth",Phrase,"high net worth insurance","HNW Insurance Analysis","Private Client Protection","Wealth Protection Review","Analyze high-value coverage privately. Professional insights for significant assets and liability.","Private client insurance review with content-free receipts and verifiable recommendations.","https://example.com/scan","scan","hnw","google","cpc","umbrella_florida","hnw_phrase"
"Umbrella - Florida","Liability Coverage",Exact,"personal liability insurance","Personal Liability Check","Know Your Exposure","Private Risk Analysis","Review liability coverage without sharing PII. Understand protection gaps in minutes.","Professional liability analysis with privacy-preserving techniques and clear explanations.","https://example.com/scan","scan","liability","google","cpc","umbrella_florida","liability_exact"
"Flood - Miami","Flood Insurance",Exact,"flood insurance miami dade","Miami Dade Flood Coverage","Hurricane Season Ready","Private Flood Analysis","Check flood coverage before hurricane season. Private analysis shows protection gaps.","Upload policies to secure vault get flood insights without sharing personal information.","https://example.com/scan","scan","flood","google","cpc","flood_miami","miamidade_flood_exact"
"Flood - Miami","Hurricane Prep",Phrase,"hurricane insurance preparation","Hurricane Insurance Prep","Storm Season Ready","Know Your Coverage","Prepare for hurricane season with private coverage analysis. Understand your protection.","Professional storm preparation includes understanding flood and wind coverage gaps.","https://example.com/scan","scan","hurricane","google","cpc","flood_miami","hurricane_prep_phrase"
"Private Client - Exotics","Exotic Vehicle Insurance",Exact,"exotic car insurance","Exotic Vehicle Coverage","Agreed Value Analysis","Private Client Service","Analyze exotic vehicle coverage privately. Professional insights for high-value collections.","Collector car insurance review with privacy-preserving analysis and expert recommendations.","https://example.com/scan","scan","exotic","google","cpc","private_client","exotic_vehicle_exact"
"Private Client - Marine","Marine Insurance",Exact,"yacht insurance","Yacht Insurance Analysis","Marine Coverage Check","Private Client Protection","Review yacht coverage without sharing PII. Professional marine insurance insights.","Comprehensive marine coverage analysis with privacy-first approach and expert guidance.","https://example.com/scan","scan","marine","google","cpc","private_client","yacht_insurance_exact"
"Private Client - Marine","Boat Insurance",Phrase,"boat insurance coverage","Boat Coverage Analysis","Marine Protection Review","Privacy Protected Insights","Analyze boat insurance privately. Professional marine coverage recommendations.","Marine insurance expertise with privacy-preserving analysis and clear explanations.","https://example.com/scan","scan","marine","google","cpc","private_client","boat_coverage_phrase"
"Private Client - Art","Fine Art Insurance",Exact,"fine art insurance","Art Collection Coverage","Private Client Service","Cultural Asset Protection","Review fine art coverage privately. Professional insights for valuable collections.","Art insurance analysis with privacy-first approach and specialized collection expertise.","https://example.com/scan","scan","art","google","cpc","private_client","fine_art_exact"